MODEL_ID;MODEL_NAME;DEPT_CODE;REMOTE_COMM_TYPE;LOCAL_COMM_TYPE;MANUFACTURE_CODE;METER_PAY_TYPE;METERING_MODEL;RECHARGE_TYPE;BATTERY_TYPE;BATTERY_LIFE;CREATOR;CREATE_DATE
10004;U-WR                                                            ;0001                ;  ;  ;4                   ;01;03;00;02;12;10003               ;2019/12/06 06:19:10.000000000
10021;U-WR                                                            ;0002                ;03;01;4                   ;01;03;00;02;12;10020               ;2019/12/18 03:21:17.000000000
10152;U-WR                                                            ;0003                ;01;01;4                   ;01;03;00;02;12;10150               ;2019/12/21 06:10:03.000000000
13503;U-WR                                                            ;0004                ;01;01;4                   ;01;03;00;02;12;13502               ;2020/01/05 06:37:43.000000000
26850;U-WR                                                            ;0005                ;01;01;4                   ;01;03;00;02;12;26849               ;2020/03/03 22:06:21.000000000
30229;U-WR                                                            ;0006                ;01;01;4                   ;01;03;00;02;12;30228               ;2020/03/12 10:34:58.000000000
71304;U-WR                                                            ;0008                ;01;01;4                   ;01;03;00;02;12;71300               ;2020/06/25 07:44:06.000000000
71326;U-WR                                                            ;0007                ;01;01;4                   ;01;03;00;02;12;71303               ;2020/06/25 07:46:28.000000000
182020;U-WR                                                            ;0009                ;01;01;4                   ;01;03;00;02;12;                    ;2020/07/31 02:21:34.000000000
182024;U-WR                                                            ;0010                ;01;01;4                   ;01;03;00;02;12;                    ;2020/07/30 21:22:11.000000000
213816;U-WR                                                            ;0011                ;01;01;4                   ;01;03;00;02;12;                    ;2020/08/10 14:35:13.000000000
216108;U-WR                                                            ;0012                ;01;01;4                   ;01;03;00;02;12;                    ;2020/08/12 02:13:46.000000000
647767;U-WR                                                            ;0013                ;01;01;4                   ;01;03;00;02;12;                    ;2020/10/29 16:51:25.000000000
2083884;U-WR                                                            ;0014                ;01;01;4                   ;01;03;00;02;12;                    ;2021/03/09 13:22:26.000000000
2083886;U-WR                                                            ;0014                ;01;01;4                   ;01;03;00;02;12;                    ;2021/03/09 13:26:00.000000000
2083985;U-WR                                                            ;0014                ;01;01;4                   ;01;03;00;02;12;                    ;2021/03/09 14:10:14.000000000
2288428;U-WR                                                            ;0013                ;01;01;4                   ;01;03;00;02;12;                    ;2021/03/21 04:59:11.000000000
2288430;U-WR                                                            ;0013                ;01;01;4                   ;01;03;00;02;12;                    ;2021/03/21 04:59:26.000000000
2298807;U-WR                                                            ;0013                ;01;01;4                   ;01;03;00;02;12;                    ;2021/03/21 13:25:34.000000000
2298838;U-WR                                                            ;0015                ;01;01;4                   ;01;03;00;02;12;                    ;2021/03/21 13:55:11.000000000
3301333;U-WR                                                            ;0016                ;01;01;4                   ;01;03;00;02;12;                    ;2021/06/01 21:54:22.000000000
3313389;U-WR                                                            ;0016                ;01;01;4                   ;01;03;00;02;12;                    ;2021/06/02 14:51:43.000000000
3314424;U-WR                                                            ;0017                ;01;01;4                   ;01;03;00;02;12;                    ;2021/06/03 00:53:46.000000000
3368737;U-WR                                                            ;0018                ;01;01;4                   ;01;03;00;02;12;                    ;2021/06/07 04:46:31.000000000
3454813;U-WR                                                            ;0020                ;01;01;4                   ;01;03;00;02;12;                    ;2021/06/12 19:24:04.000000000
