DEPT_ID;DEPT_CODE;PARENT_DEPT_ID;DEPT_NAME;DEPT_TYPE;REGION_CODE;time_zone
10001;0001                ;                    ;Allen Test                                                                                                                                                                                                                                                      ;01;100001              ;America/Lima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10017;0002                ;                    ;Sedapal Test                                                                                                                                                                                                                                                    ;01;100002              ;America/Lima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10147;0003                ;                    ;Sedapal Test2                                                                                                                                                                                                                                                   ;02;100002              ;America/Lima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
13499;0004                ;                    ;Sedapal Test3                                                                                                                                                                                                                                                   ;02;100002              ;America/Lima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
26842;0005                ;                    ;Perú-Sedalib                                                                                                                                                                                                                                                    ;02;100002              ;America/Lima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
30225;0006                ;                    ;Cuzco                                                                                                                                                                                                                                                           ;02;10000200010005      ;America/Lima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
71228;0007                ;                    ;Sedapal San Juan                                                                                                                                                                                                                                                ;02;100002              ;America/Lima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
71296;0008                ;                    ;Sedapal ate                                                                                                                                                                                                                                                     ;01;100002              ;America/Lima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
182019;0009                ;                    ;Sedapal Brena                                                                                                                                                                                                                                                   ;01;100002              ;America/Lima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
182022;0010                ;                    ;Sedapal Callao                                                                                                                                                                                                                                                  ;01;100002              ;America/Lima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
215974;0012                ;                    ;Sedapal                                                                                                                                                                                                                                                         ;01;100002              ;America/Lima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
216122;001201              ;0012                ;Sedapal Atearjea                                                                                                                                                                                                                                                ;01;10000200010001      ;America/Lima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
216124;001202              ;0012                ;Sedapal Comas                                                                                                                                                                                                                                                   ;01;10000200010002      ;America/Lima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
216126;001203              ;0012                ;Sedapal Villa                                                                                                                                                                                                                                                   ;02;10000200010003      ;America/Lima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
216128;001204              ;0012                ;Sedapal Surquillo                                                                                                                                                                                                                                               ;01;10000200010004      ;America/Lima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
216130;001205              ;0012                ;Sedapal Cuzco                                                                                                                                                                                                                                                   ;01;10000200010005      ;America/Lima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
216132;001206              ;0012                ;Sedapal Ate                                                                                                                                                                                                                                                     ;01;10000200010006      ;America/Lima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
216134;001207              ;0012                ;Sedapal San Juan                                                                                                                                                                                                                                                ;01;10000200010007      ;America/Lima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
216136;001208              ;0012                ;Sedapal Brena                                                                                                                                                                                                                                                   ;01;10000200010008      ;America/Lima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
647765;0013                ;                    ;Lima1                                                                                                                                                                                                                                                           ;01;1000020001          ;America/Lima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2079810;0014                ;                    ;Lima                                                                                                                                                                                                                                                            ;01;1000020001          ;America/Lima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2298837;0015                ;                    ;Piura                                                                                                                                                                                                                                                           ;01;970000              ;America/Lima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
3300776;0016                ;                    ;Lima - HCI                                                                                                                                                                                                                                                      ;01;1000020001          ;America/Lima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
3314423;0017                ;                    ;LIMA                                                                                                                                                                                                                                                            ;01;1000020001          ;America/Lima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
3368735;0018                ;                    ;Prueba Testing                                                                                                                                                                                                                                                  ;01;100002              ;America/Lima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
3454811;0020                ;                    ;Medileser                                                                                                                                                                                                                                                       ;01;100002              ;America/Lima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
